method,dataset,model,class_imbalance,avg_correlation,mutual_information,accuracy-recall,FPR-accuracy,SPD-accuracy,EOD-accuracy,PED-accuracy,AOD-accuracy,CFVR-accuracy,GIFVR-accuracy,FPR-recall,SPD-recall,EOD-recall,PED-recall,AOD-recall,CFVR-recall,GIFVR-recall,FPR-SPD,EOD-FPR,FPR-PED,AOD-FPR,CFVR-FPR,FPR-GIFVR,EOD-SPD,PED-SPD,AOD-SPD,CFVR-SPD,GIFVR-SPD,EOD-PED,AOD-EOD,CFVR-EOD,EOD-GIFVR,AOD-PED,CFVR-PED,GIFVR-PED,AOD-CFVR,AOD-GIFVR,CFVR-GIFVR
vanilla,census,lr,0.329044051723481,0.15725180168644665,0.046849500242439494,0.9957002815159368,0.9914158226688373,-0.07376181269962992,-0.09729908644614202,-0.038517932670699834,0.07529165939310327,-0.03201690405993436,-0.11006695107305071,0.9751159554889535,-0.10192745627123286,-0.10846613550044196,-0.06357082285081067,0.04614850282456619,-0.05747140312720135,-0.06548468170626841,-0.03296822193435562,-0.07984193519274954,-0.0026689419608246683,0.11355637452404699,0.004148629231212035,-0.17033362588579806,0.7264066325627457,0.9474213282689135,0.8651799699240705,0.8830964514134696,0.31105935224100095,0.5671627658816628,0.7788476140210068,0.5472542738770383,0.505966061262788,0.7706948484410839,0.9111732104638215,0.14693539598701771,0.7284976128779961,0.34581784424941897,0.15030043946514132
vanilla,census,svm,0.329044051723481,0.15725180168644665,0.046849500242439494,0.9960347130416473,0.9917793308032892,-0.07179440401124457,-0.09119422863226762,-0.03707839758404308,0.07849013357409412,-0.032444881544306144,-0.10207132579136069,0.9765348591874774,-0.10655596032168244,-0.11033407298247291,-0.0621798206850286,0.04548445590038076,-0.05875794321163923,-0.06674355121502984,-0.02149706016456885,-0.062352931246705524,-0.0005360872394475397,0.12305041473611644,0.005555624206282309,-0.15035967275195528,0.7273997677450617,0.8973631129905207,0.8783188827052177,0.8445636808169239,0.3322757216327659,0.6303582313090824,0.801636589439434,0.6184274730338137,0.4516307169096315,0.7638258505368958,0.9301226243061997,0.16781918653305927,0.7342380753398958,0.35207166061606043,0.17352957272307423
vanilla,census,dt,0.329044051723481,0.15725180168644665,0.046849500242439494,0.8406747058118367,0.20110932891299718,-0.20570828128755383,-0.08567560739551353,-0.10749311981888651,-0.10837369786699531,-0.04753965883168064,-0.12042440145880111,-0.33825957249615024,-0.4337091455286631,-0.17513138663262393,-0.32116807421811816,-0.2690456880911046,-0.1495018155438583,-0.14834195630690516,0.4541973275444045,0.18202542733954896,0.429436571594056,0.31871891535540897,0.18387302334649253,0.05503123659775383,0.423572763615084,0.8445607625708572,0.6676632898016497,0.3081857257213357,0.17976306258511546,0.24433064677924987,0.7851983793201176,0.14140918194968938,0.1066546493605924,0.5033609881070242,0.3012477866759907,0.08734476525809862,0.18148251137882615,0.14078278733263855,0.03336228802858876
vanilla,census,rf,0.329044051723481,0.15725180168644665,0.046849500242439494,0.9768080054002706,0.30578475502114627,-0.04113809832299446,-0.047126315852716,0.0007072851587990581,-0.03173956930213954,-0.00012073563415233614,-0.08370934393509911,0.09665578460182998,-0.1867913057536093,-0.09504337927219435,-0.14236147292547244,-0.14077840993746346,-0.06562979487949536,-0.10555376025694718,0.6352636013830687,0.20883628734510698,0.6304941570394851,0.47459801079230973,0.29281134772001205,0.08015821007006915,0.38492201308640484,0.8267141479624378,0.7742726895145009,0.4740746411459389,0.29547135873832925,0.2533275870709636,0.5802556272326528,0.1651328554387574,0.30215024788298817,0.6293615781062353,0.467333360767369,0.07181396785695239,0.39244267411233286,0.32406305146121644,0.047381058656957006
vanilla,census,mlp,0.329044051723481,0.15725180168644665,0.046849500242439494,0.7776084838490243,0.6979248693763611,-0.10453616485898418,-0.06642484809469461,-0.07616344658268318,-0.018367400603008087,-0.04218312119968583,-0.07490842147481093,0.10045516858550663,-0.31572483864458306,-0.1391724998733132,-0.27241880674645075,-0.22373639345615598,-0.10770364507907973,-0.10298949671173678,0.1972159726856051,0.05835491160017926,0.1906805752847793,0.2199113741279596,0.05836477668827187,-0.005251324537101136,0.4606306706418784,0.8926141960851226,0.7503661559067873,0.5521425734457461,0.12253437517947632,0.3250916101651146,0.7193555040253885,0.2798333557560541,0.16067783240801017,0.613912704911307,0.5687174945855409,0.057979718381613456,0.43662971361246433,0.12005599710406334,0.010399023880932912
vanilla,census,xgboost,0.329044051723481,0.15725180168644665,0.046849500242439494,0.956577395906244,0.4089294782399742,-0.051626578278323496,-0.05773132906820415,-0.004617275982505105,-0.010172088731655723,0.02724993544516629,-0.08767218040657067,0.13190954897756477,-0.21508680843117753,-0.13645473548357714,-0.15041004277876505,-0.1740832964336528,-0.1277386110054666,-0.10951492014264493,0.49783204903977085,0.23429591890354845,0.4544931712092245,0.5088849192374185,0.5021986320789873,0.047329758204184905,0.41633418268649125,0.855897927669312,0.7955860327250032,0.645844205931362,0.2520247525309941,0.24904805588937945,0.47888692571780717,0.2460012851667434,0.36807823726749056,0.6577013328213062,0.6498976088560967,0.05450372674911739,0.5956097555533514,0.18491954077881484,0.0401368623366551
vanilla,census,tabnet,0.329044051723481,0.15725180168644665,0.046849500242439494,0.8305978537566878,0.8576457022292013,-0.13828724585198876,-0.05884786707156534,-0.09990443862966299,-0.0724213373273642,-0.037824914396393586,-0.1041692454763791,0.5015778817687316,-0.1844878194487263,-0.11842174491351087,-0.1575703192464676,-0.15827507344740782,-0.06737164514097775,-0.07946474163501553,0.0018145419354578932,0.02906505953052697,0.015590122465209518,0.07329734318257937,0.06649157081520474,-0.04817185836971535,0.43497365247858844,0.7850636179280821,0.7908802355555632,0.5796829732851516,0.19033620998232595,0.30857664558173453,0.7204698282530387,0.24776219524847595,0.22163618301331295,0.6383983621807912,0.44055832590157784,0.08013343286379394,0.4651259779897049,0.2051186212158133,0.07201374195964695
vanilla,ufrgs,lr,0.8774667147874702,0.13790496433147906,0.024953065613266552,0.9998813276704258,0.9998810737722021,-0.05208927157759456,-0.04579157917853347,-0.05030962150704556,-0.048165089318476136,-0.04041351494144807,-0.05662040436745212,0.9995254069664321,-0.057451255183353665,-0.050888845982555754,-0.05573199086844889,-0.05343768605661332,-0.045559785113997345,-0.062106249186613616,-0.04652699284724163,-0.040442475605360184,-0.04468299752184152,-0.0426596327893318,-0.03499759131661714,-0.0510099609465006,0.976433018450052,0.9972070365883464,0.9940538472358582,0.9615031864562587,0.877952498289473,0.9709700063606779,0.9912848924676062,0.9759285591768825,0.827989541758685,0.9928530228396486,0.9668808979865332,0.867019899876234,0.9801700604547599,0.852024234318107,0.7807712825522748
vanilla,ufrgs,svm,0.8774667147874702,0.13790496433147906,0.024953065613266552,0.9998815193689226,0.9998812343255971,-0.05225471553599768,-0.04599981978104441,-0.050484499115908986,-0.04836078236337646,-0.04063893519459522,-0.05670319094600177,0.9995261125694259,-0.05766671328526559,-0.05115461557474867,-0.05595647647898411,-0.05368605244741711,-0.04583893461054141,-0.062213249499520416,-0.046640403665161125,-0.040591484699812067,-0.04480617814036642,-0.042800717969377046,-0.035167317890682726,-0.05106599340137026,0.9769278436800082,0.9972238443867545,0.9940916789236802,0.9617044574280506,0.8831141778285134,0.9715214519961742,0.9916962873028178,0.9764751086416334,0.8334430590055263,0.9929051760921291,0.9670944684486471,0.8722253740419633,0.9803053613254198,0.857481247240852,0.7865943804887567
vanilla,ufrgs,dt,0.8774667147874702,0.13790496433147906,0.024953065613266552,0.8878129934912193,0.06833073609168486,-0.3942641274527528,-0.20923455519527395,-0.16235662219639332,-0.26366104158621734,-0.2615404682324276,-0.3167814197716206,-0.39002039209529427,-0.4284078224316799,-0.21382162600180732,-0.1527584908895947,-0.28532507425680914,-0.31828588021751836,-0.38459892947530444,0.15723936213299486,0.05715333617368047,0.013798192695466083,0.09969063246148298,0.1708449203077342,0.20179293618895006,0.5713262470246485,0.674696537217985,0.8885675222035282,0.513677289572257,0.3878822172081967,0.23951453674330975,0.5808016539002391,0.37953012910505607,0.26974602419160726,0.6416280420193436,0.35040117037351487,0.20170563214170137,0.438964537601709,0.30812089900107875,0.37306915730877666
