Method,Type,SPD,EOD,PED,AOD,CFVR,GIFVR,accuracy,precision,recall,FPR,f1_score,MCC,roc_auc
vanilla,Original,0.4183,0.3403,0.3228,0.3483,0.2625,0.5190,0.7692,0.7390,0.6911,0.2226,0.6990,0.4187,0.7822
vanilla,Approximate,0.3016,0.2618,0.2330,0.2641,0.1871,0.4136,0.6934,/,0.5636,0.3020,/,/,/
reweighing,Original,0.3445,0.2796,0.2535,0.2752,0.2174,0.4980,0.7651,0.7346,0.6861,0.2300,0.6923,0.4101,0.7786
reweighing,Approximate,0.2648,0.2321,0.2086,0.2291,0.1634,0.4023,0.6892,/,0.5641,0.3089,/,/,/
flipping,Original,0.3364,0.2593,0.2411,0.2610,0.1325,0.4796,0.7650,0.7340,0.6865,0.2274,0.6943,0.4097,0.7768
flipping,Approximate,0.2516,0.2202,0.1899,0.2179,0.0890,0.3925,0.6933,/,0.5658,0.3030,/,/,/
blindness,Original,0.2699,0.2030,0.1846,0.1975,0.0000,0.4139,0.7625,0.7330,0.6818,0.2290,0.6900,0.4034,0.7734
blindness,Approximate,0.2082,0.1960,0.1545,0.1864,0.0000,0.3327,0.6864,/,0.5564,0.3092,/,/,/
fairsmote,Original,0.2616,0.1980,0.1910,0.1956,0.1400,0.5402,0.7207,0.6817,0.6929,0.2614,0.6776,0.3732,0.7533
fairsmote,Approximate,0.2411,0.2434,0.2088,0.2206,0.1493,0.4959,0.6611,/,0.6110,0.3226,/,/,/
maat,Original,0.3400,0.2739,0.2420,0.2686,0.2063,0.4878,0.7687,0.7443,0.6811,0.2195,0.6909,0.4120,0.7854
maat,Approximate,0.2496,0.2237,0.1823,0.2145,0.1458,0.3816,0.6918,/,0.5444,0.2980,/,/,/
